Date,Price
13.09.2024,"351,80"
16.09.2024,"356,00"
17.09.2024,"357,60"
18.09.2024,"357,40"
19.09.2024,"357,80"
20.09.2024,"369,60"
23.09.2024,"374,40"
24.09.2024,"379,00"
25.09.2024,"368,80"
26.09.2024,"363,00"
27.09.2024,"361,60"
30.09.2024,"349,80"
01.10.2024,"350,80"
02.10.2024,"339,00"
03.10.2024,"340,00"
04.10.2024,"336,60"
07.10.2024,"336,40"
08.10.2024,"335,20"
09.10.2024,"339,60"
10.10.2024,"339,40"
11.10.2024,"339,40"
14.10.2024,"345,60"
