Date,Price
05.05.2021,"1.663,00"
06.05.2021,"1.642,60"
07.05.2021,"1.636,80"
10.05.2021,"1.613,00"
11.05.2021,"1.588,60"
12.05.2021,"1.553,00"
13.05.2021,"1.505,00"
14.05.2021,"1.516,40"
17.05.2021,"1.516,80"
18.05.2021,"1.549,20"
19.05.2021,"1.517,00"
20.05.2021,"1.509,80"
21.05.2021,"1.530,60"
24.05.2021,"1.562,20"
25.05.2021,"1.570,00"
26.05.2021,"1.630,20"
27.05.2021,"1.680,00"
28.05.2021,"1.669,60"
31.05.2021,"1.673,60"
01.06.2021,"1.693,40"
02.06.2021,"1.678,60"
03.06.2021,"1.673,60"
04.06.2021,"1.669,80"
07.06.2021,"1.663,00"
08.06.2021,"1.662,60"
09.06.2021,"1.670,00"
10.06.2021,"1.664,00"
11.06.2021,"1.637,80"
14.06.2021,"1.636,60"
15.06.2021,"1.618,00"
16.06.2021,"1.600,60"
17.06.2021,"1.631,40"
18.06.2021,"1.624,20"
21.06.2021,"1.614,00"
22.06.2021,"1.601,00"
23.06.2021,"1.602,20"
24.06.2021,"1.590,00"
25.06.2021,"1.610,80"
28.06.2021,"1.627,20"
29.06.2021,"1.622,00"
30.06.2021,"1.655,60"
01.07.2021,"1.669,40"
02.07.2021,"1.661,20"
05.07.2021,"1.658,00"
06.07.2021,"1.649,00"
07.07.2021,"1.649,00"
08.07.2021,"1.629,80"
09.07.2021,"1.616,00"
12.07.2021,"1.619,60"
13.07.2021,"1.642,40"
14.07.2021,"1.607,00"
15.07.2021,"1.585,20"
16.07.2021,"1.560,80"
19.07.2021,"1.528,60"
20.07.2021,"1.534,00"
21.07.2021,"1.541,00"
22.07.2021,"1.549,00"
23.07.2021,"1.539,00"
26.07.2021,"1.544,00"
27.07.2021,"1.517,40"
28.07.2021,"1.548,60"
29.07.2021,"1.520,40"
30.07.2021,"1.514,80"
02.08.2021,"1.506,40"
03.08.2021,"1.481,40"
04.08.2021,"1.487,80"
05.08.2021,"1.507,00"
06.08.2021,"1.506,00"
09.08.2021,"1.505,60"
10.08.2021,"1.515,00"
11.08.2021,"1.543,00"
12.08.2021,"1.536,60"
13.08.2021,"1.513,80"
16.08.2021,"1.494,00"
17.08.2021,"1.488,80"
18.08.2021,"1.482,00"
19.08.2021,"1.482,60"
20.08.2021,"1.441,60"
23.08.2021,"1.426,20"
24.08.2021,"1.436,40"
25.08.2021,"1.436,00"
26.08.2021,"1.432,20"
27.08.2021,"1.430,20"
30.08.2021,"1.436,00"
31.08.2021,"1.484,40"
01.09.2021,"1.519,00"
02.09.2021,"1.535,20"
03.09.2021,"1.541,00"
06.09.2021,"1.541,20"
07.09.2021,"1.536,00"
08.09.2021,"1.529,80"
09.09.2021,"1.514,80"
10.09.2021,"1.530,80"
13.09.2021,"1.586,40"
14.09.2021,"1.571,20"
15.09.2021,"1.557,20"
16.09.2021,"1.559,20"
17.09.2021,"1.570,40"
20.09.2021,"1.521,40"
21.09.2021,"1.535,00"
22.09.2021,"1.537,80"
23.09.2021,"1.515,00"
24.09.2021,"1.525,40"
27.09.2021,"1.487,00"
28.09.2021,"1.498,20"
29.09.2021,"1.497,20"
30.09.2021,"1.488,00"
01.10.2021,"1.481,80"
04.10.2021,"1.461,80"
05.10.2021,"1.466,00"
06.10.2021,"1.448,20"
07.10.2021,"1.495,00"
08.10.2021,"1.465,00"
11.10.2021,"1.456,60"
12.10.2021,"1.468,00"
13.10.2021,"1.473,20"
14.10.2021,"1.472,80"
15.10.2021,"1.495,00"
18.10.2021,"1.570,60"
19.10.2021,"1.573,80"
20.10.2021,"1.614,80"
21.10.2021,"1.596,20"
22.10.2021,"1.546,00"
25.10.2021,"1.547,00"
26.10.2021,"1.515,40"
27.10.2021,"1.540,20"
28.10.2021,"1.504,20"
29.10.2021,"1.461,20"
01.11.2021,"1.463,40"
02.11.2021,"1.441,40"
03.11.2021,"1.449,80"
05.11.2021,"1.438,00"
08.11.2021,"1.433,80"
09.11.2021,"1.405,00"
10.11.2021,"1.379,40"
11.11.2021,"1.391,00"
12.11.2021,"1.403,00"
15.11.2021,"1.388,80"
16.11.2021,"1.389,40"
17.11.2021,"1.380,80"
18.11.2021,"1.385,00"
19.11.2021,"1.325,80"
22.11.2021,"1.280,00"
23.11.2021,"1.295,00"
24.11.2021,"1.290,20"
25.11.2021,"1.279,00"
26.11.2021,"1.206,80"
29.11.2021,"1.244,80"
30.11.2021,"1.247,00"
01.12.2021,"1.264,80"
02.12.2021,"1.348,20"
03.12.2021,"1.240,80"
06.12.2021,"1.167,80"
07.12.2021,"1.111,00"
08.12.2021,"1.041,40"
09.12.2021,"1.015,00"
10.12.2021,"986,60"
13.12.2021,"905,80"
14.12.2021,"897,40"
15.12.2021,"961,00"
16.12.2021,"982,80"
17.12.2021,"962,00"
20.12.2021,"912,00"
21.12.2021,"924,60"
22.12.2021,"912,20"
23.12.2021,"880,20"
24.12.2021,"877,00"
27.12.2021,"884,80"
28.12.2021,"876,60"
29.12.2021,"865,40"
30.12.2021,"872,40"
03.01.2022,"885,80"
04.01.2022,"874,00"
05.01.2022,"816,20"
06.01.2022,"793,00"
10.01.2022,"766,80"
11.01.2022,"770,80"
12.01.2022,"770,40"
13.01.2022,"754,60"
14.01.2022,"686,40"
17.01.2022,"710,60"
18.01.2022,"662,80"
19.01.2022,"675,60"
20.01.2022,"683,00"
21.01.2022,"645,80"
24.01.2022,"596,20"
25.01.2022,"594,20"
26.01.2022,"583,00"
27.01.2022,"591,20"
28.01.2022,"597,00"
31.01.2022,"630,00"
01.02.2022,"655,60"
02.02.2022,"633,00"
03.02.2022,"602,00"
04.02.2022,"580,80"
07.02.2022,"581,80"
08.02.2022,"609,80"
09.02.2022,"635,00"
10.02.2022,"607,40"
11.02.2022,"584,80"
14.02.2022,"596,00"
15.02.2022,"617,40"
16.02.2022,"614,60"
17.02.2022,"588,00"
18.02.2022,"559,20"
21.02.2022,"420,00"
22.02.2022,"479,80"
24.02.2022,"309,00"
25.02.2022,"296,00"
29.03.2022,"510,00"
30.03.2022,"559,40"
31.03.2022,"567,00"
01.04.2022,"556,20"
04.04.2022,"536,00"
05.04.2022,"502,20"
06.04.2022,"502,00"
07.04.2022,"492,00"
08.04.2022,"497,80"
11.04.2022,"488,00"
12.04.2022,"468,80"
13.04.2022,"466,80"
14.04.2022,"430,20"
15.04.2022,"422,60"
18.04.2022,"426,00"
19.04.2022,"422,00"
20.04.2022,"437,80"
21.04.2022,"425,40"
22.04.2022,"416,80"
25.04.2022,"370,60"
26.04.2022,"378,20"
27.04.2022,"432,00"
28.04.2022,"404,00"
29.04.2022,"399,00"
04.05.2022,"386,80"
05.05.2022,"386,00"
06.05.2022,"374,60"
11.05.2022,"370,00"
12.05.2022,"338,40"
13.05.2022,"339,00"
16.05.2022,"349,00"
17.05.2022,"357,20"
18.05.2022,"375,20"
19.05.2022,"361,60"
20.05.2022,"350,20"
23.05.2022,"345,00"
24.05.2022,"335,60"
25.05.2022,"344,80"
26.05.2022,"351,40"
27.05.2022,"347,00"
30.05.2022,"340,20"
31.05.2022,"336,00"
01.06.2022,"333,40"
02.06.2022,"328,80"
03.06.2022,"307,80"
06.06.2022,"288,00"
07.06.2022,"280,20"
08.06.2022,"290,00"
09.06.2022,"279,00"
10.06.2022,"280,00"
14.06.2022,"269,00"
15.06.2022,"300,80"
16.06.2022,"313,60"
17.06.2022,"308,00"
20.06.2022,"310,00"
21.06.2022,"300,00"
22.06.2022,"292,80"
23.06.2022,"310,60"
24.06.2022,"302,80"
27.06.2022,"316,20"
28.06.2022,"338,40"
29.06.2022,"324,00"
30.06.2022,"302,40"
01.07.2022,"303,00"
04.07.2022,"315,60"
05.07.2022,"314,80"
06.07.2022,"321,00"
07.07.2022,"332,80"
08.07.2022,"328,80"
11.07.2022,"323,00"
12.07.2022,"319,80"
13.07.2022,"307,80"
14.07.2022,"300,80"
15.07.2022,"307,60"
18.07.2022,"322,20"
19.07.2022,"319,60"
20.07.2022,"315,80"
21.07.2022,"311,40"
22.07.2022,"318,20"
25.07.2022,"360,20"
26.07.2022,"410,00"
27.07.2022,"400,00"
28.07.2022,"414,40"
29.07.2022,"409,00"
01.08.2022,"391,00"
02.08.2022,"365,60"
03.08.2022,"402,40"
04.08.2022,"413,80"
05.08.2022,"387,60"
08.08.2022,"411,80"
09.08.2022,"444,00"
10.08.2022,"461,00"
11.08.2022,"407,00"
12.08.2022,"418,00"
15.08.2022,"411,00"
16.08.2022,"413,80"
17.08.2022,"419,60"
18.08.2022,"416,20"
19.08.2022,"414,40"
22.08.2022,"421,80"
23.08.2022,"447,80"
24.08.2022,"429,00"
25.08.2022,"433,20"
26.08.2022,"436,80"
29.08.2022,"433,00"
30.08.2022,"429,20"
31.08.2022,"428,00"
01.09.2022,"422,00"
02.09.2022,"419,60"
05.09.2022,"431,60"
06.09.2022,"418,00"
07.09.2022,"422,00"
08.09.2022,"423,00"
09.09.2022,"437,00"
12.09.2022,"468,00"
13.09.2022,"461,80"
14.09.2022,"464,80"
15.09.2022,"484,60"
16.09.2022,"510,00"
19.09.2022,"550,20"
20.09.2022,"493,00"
21.09.2022,"447,60"
22.09.2022,"469,60"
23.09.2022,"419,80"
26.09.2022,"330,20"
27.09.2022,"375,40"
28.09.2022,"362,00"
29.09.2022,"356,00"
30.09.2022,"363,20"
03.10.2022,"392,20"
04.10.2022,"390,40"
05.10.2022,"390,00"
06.10.2022,"386,40"
07.10.2022,"360,80"
10.10.2022,"382,40"
11.10.2022,"403,40"
12.10.2022,"427,60"
13.10.2022,"440,00"
14.10.2022,"439,00"
17.10.2022,"455,20"
18.10.2022,"429,20"
19.10.2022,"436,00"
20.10.2022,"435,00"
21.10.2022,"440,60"
24.10.2022,"437,60"
25.10.2022,"448,20"
26.10.2022,"450,20"
27.10.2022,"446,20"
28.10.2022,"446,40"
31.10.2022,"453,00"
01.11.2022,"468,80"
02.11.2022,"449,60"
03.11.2022,"455,40"
07.11.2022,"469,80"
08.11.2022,"476,20"
09.11.2022,"464,00"
10.11.2022,"502,40"
11.11.2022,"499,80"
14.11.2022,"521,00"
15.11.2022,"497,80"
16.11.2022,"508,00"
17.11.2022,"505,20"
18.11.2022,"502,40"
21.11.2022,"489,80"
22.11.2022,"501,20"
23.11.2022,"505,60"
24.11.2022,"506,80"
25.11.2022,"498,80"
28.11.2022,"495,80"
29.11.2022,"499,40"
30.11.2022,"506,40"
01.12.2022,"501,80"
02.12.2022,"496,60"
05.12.2022,"498,20"
06.12.2022,"487,80"
07.12.2022,"484,60"
08.12.2022,"474,40"
09.12.2022,"471,20"
12.12.2022,"468,20"
13.12.2022,"463,60"
14.12.2022,"443,00"
15.12.2022,"441,20"
16.12.2022,"442,60"
19.12.2022,"433,40"
20.12.2022,"449,40"
21.12.2022,"440,00"
22.12.2022,"460,80"
23.12.2022,"451,00"
26.12.2022,"452,60"
27.12.2022,"453,20"
28.12.2022,"440,60"
29.12.2022,"441,60"
30.12.2022,"437,00"
03.01.2023,"446,80"
04.01.2023,"451,20"
05.01.2023,"450,60"
06.01.2023,"446,60"
09.01.2023,"451,00"
10.01.2023,"449,80"
11.01.2023,"462,80"
12.01.2023,"469,40"
13.01.2023,"473,40"
16.01.2023,"489,80"
17.01.2023,"474,20"
18.01.2023,"476,80"
19.01.2023,"467,60"
20.01.2023,"468,20"
23.01.2023,"482,00"
24.01.2023,"474,40"
25.01.2023,"478,40"
26.01.2023,"476,20"
27.01.2023,"475,00"
30.01.2023,"482,20"
